# Export uit de database. Formaat: van;naar;opmerking
danny de munk ft dj galaga|bloemetje;danny de munk|bloemetje;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|dit is mijn leven;danny de munk|dit is mijn leven;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|een man van de wereld;danny de munk|een man van de wereld;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|heerlijk;danny de munk|heerlijk;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|het levende bewijs;danny de munk|het levende bewijs;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|ik voel me zo verdomd alleen;danny de munk|ik voel me zo verdomd alleen;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|ik voel me zo verdomd alleen titelsong van de film ciske de rat;danny de munk|ik voel me zo verdomd alleen titelsong van de film ciske de rat;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|je leeft maar een keer;danny de munk|je leeft maar een keer;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|kontje;danny de munk|kontje;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|mengelmoes;danny de munk|mengelmoes;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|met kerstmis hoor je blij te zijn;danny de munk|met kerstmis hoor je blij te zijn;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|mijn meissie;danny de munk|mijn meissie;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|mijn stad;danny de munk|mijn stad;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|ratsmodee;danny de munk|ratsmodee;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|toch ff lekker zo;danny de munk|toch ff lekker zo;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|tuig van de richel;danny de munk|tuig van de richel;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|twee lege handen;danny de munk|twee lege handen;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|vrienden voor het leven;danny de munk|vrienden voor het leven;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|wat een plezier;danny de munk|wat een plezier;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|we brullen voor oranje;danny de munk|we brullen voor oranje;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|wordt tijd dat jij een keer bestelt;danny de munk|wordt tijd dat jij een keer bestelt;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|ze wacht nog steeds op mij;danny de munk|ze wacht nog steeds op mij;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|zo is het leven;danny de munk|zo is het leven;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk|we brullen voor oranje;danny de munk ft dj galaga|we brullen voor oranje;Gastartiest stond er een week niet bij.
david bowie|lets dance;david bowie|let s dance;zelfde nummer, andere schrijfwijze (bron kent er twee)
david garrick the rolling stones|a certain misunderstanding;david garrick|a certain misunderstanding;vastgestelde schrijfwijze levert een andere sleutel op
david garrick the rolling stones|a little bit of this and a little bit of that;david garrick|a little bit of this and a little bit of that;vastgestelde schrijfwijze levert een andere sleutel op
david garrick the rolling stones|ave maria;david garrick|ave maria;vastgestelde schrijfwijze levert een andere sleutel op
david garrick the rolling stones|dear mrs applebee;david garrick|dear mrs applebee;vastgestelde schrijfwijze levert een andere sleutel op
david garrick the rolling stones|don t go out into the rain you re gonna melt sugar;david garrick|don t go out into the rain you re gonna melt sugar;vastgestelde schrijfwijze levert een andere sleutel op
david garrick the rolling stones|i ve found a love;david garrick|i ve found a love;vastgestelde schrijfwijze levert een andere sleutel op
david garrick the rolling stones|lady jane;david garrick|lady jane;vastgestelde schrijfwijze levert een andere sleutel op
david garrick the rolling stones|rainbow;david garrick|rainbow;vastgestelde schrijfwijze levert een andere sleutel op
david garrick the rolling stones|unchained melody;david garrick|unchained melody;vastgestelde schrijfwijze levert een andere sleutel op
david garrick|lady jane;david garrick the rolling stones|lady jane;
david mc williams|can i get there by candlelight;david mcwilliams|can i get there by candlelight;zelfde artiest, andere spatiëring of afkorting
david mc williams|three o clock flamingo street;david mcwilliams|three o clock flamingo street;zelfde artiest, andere spatiëring of afkorting
de alpenzusjes|bergje op bergje af;alpenzusjes|bergje op bergje af;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|de jungledans;alpenzusjes|de jungledans;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|hallo;alpenzusjes|hallo;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|helemaal dol;alpenzusjes|helemaal dol;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|hoemparapapa;alpenzusjes|hoemparapapa;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|hutje op de hei;alpenzusjes|hutje op de hei;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|kontebonke;alpenzusjes|kontebonke;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|macho hans;alpenzusjes|macho hans;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|naar de costa;alpenzusjes|naar de costa;vastgestelde schrijfwijze levert een andere sleutel op
de alpenzusjes|naar voren naar achteren;alpenzusjes|naar voren naar achteren;vastgestelde schrijfwijze levert een andere sleutel op
de sjonnies|blauw van de sangria;sjonnies|blauw van de sangria;vastgestelde schrijfwijze levert een andere sleutel op
de sjonnies|coupe soleil oh wat zijn we blij;sjonnies|coupe soleil oh wat zijn we blij;vastgestelde schrijfwijze levert een andere sleutel op
de sjonnies|dans je de hele nacht met mij;sjonnies|dans je de hele nacht met mij;vastgestelde schrijfwijze levert een andere sleutel op
de sjonnies|hallo hallo;sjonnies|hallo hallo;vastgestelde schrijfwijze levert een andere sleutel op
de sjonnies|helemaal los;sjonnies|helemaal los;vastgestelde schrijfwijze levert een andere sleutel op
de sjonnies|m n fiets is gejat;sjonnies|m n fiets is gejat;vastgestelde schrijfwijze levert een andere sleutel op
delerium ft sarah mclachlan|silence remix;delerium ft sarah mclachlan|silence remixes;zelfde nummer, andere schrijfwijze (bron kent er een)
dennie christian|tijd voor gezelligheid;dennie christian|tijd voor wat gezelligheid;2013 oranje
dennis cornelissen|boem boem boem;dennis conelissen|boem boem boem;2012 oranje
depeche mode|itsnogood;depeche mode|it s no good;zelfde nummer, andere spatiëring
depeche mode|love in itself 2 3 and live tracks mini album just can t get enough live;depeche mode|just can t get enough live;top40.nl zet de uitgave voor het nummer
depeche mode|strange love;depeche mode|strangelove;zelfde nummer, andere schrijfwijze (bron kent er twee)
dexy s midnight runners|geno;dexys midnight runners|geno;zelfde artiest, andere spatiëring of afkorting
dick treesie en dj bompa|dans met mij vannacht;dick treesie en dj bompa|dans met mijn vannacht;2010 oranje
diggy des ft eva de roovere|slaap lekker fantastig toch;diggy dex ft eva de roovere|slaap lekker fantastig toch;2009 oranje
dijk the scene|de wereld is van iedereen iedereen is van de wereld nieuwe laarzen van een oude leest;dijk the scene|iedereen is van de wereld nieuwe laarzen van een oude leest;top40.nl zet de uitgave voor het nummer
dirk meeldijk|waarom laat jij mij alleen;dirk meeldijk|waarom laat je mij alleen;2015 oranje
dj bobo|pray;d j bobo|pray;zelfde artiest, andere spatiëring of afkorting
dj jaroon ft goldfinger|de ski song;dj daroon ft goldfinger|de ski song;2008 oranje
django wagner met antje monteiro|vlinders;django wagner & antje monteiro|vlinders;2014 oranje
django wagner|mijn naam is marina;django wagner|mijn naam dat is marina;2010 oranje
donna summer|mac arthur park;donna summer|macarthur park;zelfde nummer, andere schrijfwijze (bron kent er een)
donnie & frans duijts|frans duits de leeuwendans klaar voor de aftrap;donnie & frans duijts|frans duits;2021 top40
donovan|jennifer juniper;donovan|jenifer juniper;zelfde nummer, andere schrijfwijze (bron kent er een)
drunkenmunky|e e as in eveline;drunkenmunky|e as in eveline;"top40.nl noteerde twee schrijfwijzen; MusicBrainz kent beide, keuze van Heye"
duo nl|ik droom ervan;duonl|ik droom ervan;2013 oranje
duo nl|ik mis je;duonl|ik mis je;2012 oranje
duranduran|all she wants is;duran duran|all she wants is;zelfde artiest, andere spatiëring of afkorting
duranduran|do you believe in shame;duran duran|do you believe in shame;zelfde artiest, andere spatiëring of afkorting
duranduran|i don t want your love;duran duran|i don t want your love;zelfde artiest, andere spatiëring of afkorting
earth wind v fire|after the love has gone;earth wind & fire|after the love has gone;typefout in de artiestnaam (Earth, Wind v Fire -> Earth, Wind & Fire), vastgesteld met MusicBrainz/Wikipedia
easybeats the dukes|friday on my mind;easybeats|friday on my mind;
ed sheeran ed sheeran ft googoosh|azizam azizam persian version;ed sheeran|azizam;"2025, Top 40 week 17: één week lang stond ""Azizam"" als dubbele A-kant met de Perzische versie erbij. De weekteller van de site liep gewoon door (2-3-4) en de vorige-positieketen was ononderbroken, dus het is dezelfde notering."
ed sheeran ft lil baby|2step;ed sheeran ed sheeran ft lil baby ed sheeran ft antytila|2step;2022 tipparade
ed sheeran|perfect;ed sheeran ed sheeran & beyonce|perfect;2017 top40
elton john|crocodille rock;elton john|crocodile rock;zelfde nummer, andere schrijfwijze (bron kent er een)
elvis costello|olivers army;elvis costello|oliver s army;zelfde nummer, andere schrijfwijze (bron kent er twee)
elvis presley elvis|are you lonesome tonight a very special version from las vegas lachversion live in las vegas are you lonesome tonight the famous laughing version;elvis presley elvis|are you lonesome tonight the famous laughing version;top40.nl zet de uitgave voor het nummer
enigma|sadeness part i;enigma|sadeness part 1;zelfde nummer, andere schrijfwijze (bron kent er twee)
erasure|crackers international stop;erasure|stop;top40.nl zet de uitgave voor het nummer
eric clapton|knocking on heaven s door;eric clapton|knockin on heaven s door;zelfde nummer, andere schrijfwijze (bron kent er twee)
faithless|insomnia cec edit;faithless|insomnia cec radio mix;1996: top40.nl hernoemde de lopende notering van Insomnia halverwege van [CEC Edit] naar [CEC Radio Mix]. Samen precies michajans' 254 punten / 15 weken.
family|strange band the weavers answer;family|the weavers answer;top40.nl zet de uitgave voor het nummer
fedde legrand|1 2 step;fedde le grand|1 2 step;typefout in de artiestnaam (Fedde Legrand -> Fedde Le Grand), vastgesteld met MusicBrainz/Wikipedia
feest team|ik neem je mee;feestteam|ik neem je mee;typefout in de artiestnaam (Het Feest Team -> Het Feestteam), vastgesteld met MusicBrainz/Wikipedia
fiddler s dram|daytrip to bangor didn t we have a lovely time;fiddler s dram|day trip to bangor didn t we have a lovely time;zelfde nummer, andere schrijfwijze (bron kent er een)
first choice|let no man put us under;first choice|let no man put asunder;zelfde nummer, andere schrijfwijze (bron kent er twee)
flower pot men|a walk in the sky;flowerpot men|a walk in the sky;zelfde artiest, andere spatiëring of afkorting
flower pot men|let s go to san francisco;flowerpot men|let s go to san francisco;zelfde artiest, andere spatiëring of afkorting
fpi project ft sharon dee clarke|rich in paradise remixes going back to my roots;fpi project ft sharon dee clarke|going back to my roots;top40.nl zet de uitgave voor het nummer
frank van etten|jij bent niet meer die man van toen;frank van etten|jij bent niet mee die man van toen;"Titel-typefout; op verzoek is de ""mee""-schrijfwijze de canonieke sleutel."
frank van etten|neem me in je dromen mee;frank van etten|neem me mee in je dromen;2011 oranje
